raw_symbol,instrument_id,date
ETHM3-ETHU3,13479,2023-01-27
ETHM3-ETHU3,13479,2023-01-28
ETHM3-ETHU3,13479,2023-01-29
ETHM3-ETHU3,13479,2023-01-30
ETHM3-ETHU3,13479,2023-01-31
ETHM3-ETHU3,13479,2023-02-01
ETHM3-ETHU3,13479,2023-02-02
ETHM3-ETHU3,13479,2023-02-03
ETHM3-ETHU3,13479,2023-02-04
ETHM3-ETHU3,13479,2023-02-05
ETHM3-ETHU3,13479,2023-02-06
ETHM3-ETHU3,13479,2023-02-07
ETHM3-ETHU3,13479,2023-02-08
ETHM3-ETHU3,13479,2023-02-09
ETHM3-ETHU3,13479,2023-02-10
ETHM3-ETHU3,13479,2023-02-11
ETHM3-ETHU3,13479,2023-02-12
ETHM3-ETHU3,13479,2023-02-13
ETHM3-ETHU3,13479,2023-02-14
ETHM3-ETHU3,13479,2023-02-15
ETHM3-ETHU3,13479,2023-02-16
ETHM3-ETHU3,13479,2023-02-17
ETHM3-ETHU3,13479,2023-02-18
ETHM3-ETHU3,13479,2023-02-19
ETHM3-ETHU3,13479,2023-02-20
ETHM3-ETHU3,13479,2023-02-21
ETHM3-ETHU3,13479,2023-02-22
ETHM3-ETHU3,13479,2023-02-23
ETHM3-ETHU3,13479,2023-02-24
ETHM3-ETHU3,13479,2023-02-25
ETHM3-ETHU3,13479,2023-02-26
ETHM3-ETHU3,13479,2023-02-27
ETHM3-ETHU3,13479,2023-02-28
ETHM3-ETHU3,13479,2023-03-01
ETHM3-ETHU3,13479,2023-03-02
ETHM3-ETHU3,13479,2023-03-03
ETHM3-ETHU3,13479,2023-03-04
ETHM3-ETHU3,13479,2023-03-05
ETHM3-ETHU3,13479,2023-03-06
ETHM3-ETHU3,13479,2023-03-07
ETHM3-ETHU3,13479,2023-03-08
ETHM3-ETHU3,13479,2023-03-09
ETHM3-ETHU3,13479,2023-03-10
ETHM3-ETHU3,13479,2023-03-11
ETHM3-ETHU3,13479,2023-03-12
ETHM3-ETHU3,13479,2023-03-13
ETHM3-ETHU3,13479,2023-03-14
ETHM3-ETHU3,13479,2023-03-15
ETHM3-ETHU3,13479,2023-03-16
ETHM3-ETHU3,13479,2023-03-17
ETHM3-ETHU3,13479,2023-03-18
ETHM3-ETHU3,13479,2023-03-19
ETHM3-ETHU3,13479,2023-03-20
ETHM3-ETHU3,13479,2023-03-21
ETHM3-ETHU3,13479,2023-03-22
ETHM3-ETHU3,13479,2023-03-23
ETHM3-ETHU3,13479,2023-03-24
ETHM3-ETHU3,13479,2023-03-25
ETHM3-ETHU3,13479,2023-03-26
ETHM3-ETHU3,13479,2023-03-27
ETHM3-ETHU3,13479,2023-03-28
ETHM3-ETHU3,13479,2023-03-29
ETHM3-ETHU3,13479,2023-03-30
ETHM3-ETHU3,13479,2023-03-31
ETHM3-ETHU3,13479,2023-04-01
ETHM3-ETHU3,13479,2023-04-02
ETHM3-ETHU3,13479,2023-04-03
ETHM3-ETHU3,13479,2023-04-04
ETHM3-ETHU3,13479,2023-04-05
ETHM3-ETHU3,13479,2023-04-06
ETHM3-ETHU3,13479,2023-04-07
ETHM3-ETHU3,13479,2023-04-08
ETHM3-ETHU3,13479,2023-04-09
ETHM3-ETHU3,13479,2023-04-10
ETHM3-ETHU3,13479,2023-04-11
ETHM3-ETHU3,13479,2023-04-12
ETHM3-ETHU3,13479,2023-04-13
ETHM3-ETHU3,13479,2023-04-14
ETHM3-ETHU3,13479,2023-04-15
ETHM3-ETHU3,13479,2023-04-16
ETHM3-ETHU3,13479,2023-04-17
ETHM3-ETHU3,13479,2023-04-18
ETHM3-ETHU3,13479,2023-04-19
ETHM3-ETHU3,13479,2023-04-20
ETHM3-ETHU3,13479,2023-04-21
ETHM3-ETHU3,13479,2023-04-22
ETHM3-ETHU3,13479,2023-04-23
ETHM3-ETHU3,13479,2023-04-24
ETHM3-ETHU3,13479,2023-04-25
ETHM3-ETHU3,13479,2023-04-26
ETHM3-ETHU3,13479,2023-04-27
ETHM3-ETHU3,13479,2023-04-28
ETHM3-ETHU3,13479,2023-04-29
ETHM3-ETHU3,13479,2023-04-30
ETHM3-ETHU3,13479,2023-05-01
ETHM3-ETHU3,13479,2023-05-02
ETHM3-ETHU3,13479,2023-05-03
ETHM3-ETHU3,13479,2023-05-04
ETHM3-ETHU3,13479,2023-05-05
ETHM3-ETHU3,13479,2023-05-06
ETHM3-ETHU3,13479,2023-05-07
ETHM3-ETHU3,13479,2023-05-08
ETHM3-ETHU3,13479,2023-05-09
ETHM3-ETHU3,13479,2023-05-10
ETHM3-ETHU3,13479,2023-05-11
ETHM3-ETHU3,13479,2023-05-12
ETHM3-ETHU3,13479,2023-05-13
ETHM3-ETHU3,13479,2023-05-14
ETHM3-ETHU3,13479,2023-05-15
ETHM3-ETHU3,13479,2023-05-16
ETHM3-ETHU3,13479,2023-05-17
ETHM3-ETHU3,13479,2023-05-18
ETHM3-ETHU3,13479,2023-05-19
ETHM3-ETHU3,13479,2023-05-20
ETHM3-ETHU3,13479,2023-05-21
ETHM3-ETHU3,13479,2023-05-22
ETHM3-ETHU3,13479,2023-05-23
ETHM3-ETHU3,13479,2023-05-24
ETHM3-ETHU3,13479,2023-05-25
ETHM3-ETHU3,13479,2023-05-26
ETHM3-ETHU3,13479,2023-05-27
ETHM3-ETHU3,13479,2023-05-28
ETHM3-ETHU3,13479,2023-05-29
ETHM3-ETHU3,13479,2023-05-30
ETHM3-ETHU3,13479,2023-05-31
ETHM3-ETHU3,13479,2023-06-01
ETHM3-ETHU3,13479,2023-06-02
ETHM3-ETHU3,13479,2023-06-03
ETHM3-ETHU3,13479,2023-06-04
ETHM3-ETHU3,13479,2023-06-05
ETHM3-ETHU3,13479,2023-06-06
ETHM3-ETHU3,13479,2023-06-07
ETHM3-ETHU3,13479,2023-06-08
ETHM3-ETHU3,13479,2023-06-09
ETHM3-ETHU3,13479,2023-06-10
ETHM3-ETHU3,13479,2023-06-11
ETHM3-ETHU3,13479,2023-06-12
ETHM3-ETHU3,13479,2023-06-13
ETHM3-ETHU3,13479,2023-06-14
ETHM3-ETHU3,13479,2023-06-15
ETHM3-ETHU3,13479,2023-06-16
ETHM3-ETHU3,13479,2023-06-17
ETHM3-ETHU3,13479,2023-06-18
ETHM3-ETHU3,13479,2023-06-19
ETHM3-ETHU3,13479,2023-06-20
ETHM3-ETHU3,13479,2023-06-21
ETHM3-ETHU3,13479,2023-06-22
ETHM3-ETHU3,13479,2023-06-23
ETHM3-ETHU3,13479,2023-06-24
ETHM3-ETHU3,13479,2023-06-25
ETHM3-ETHU3,13479,2023-06-26
ETHM3-ETHU3,13479,2023-06-27
ETHM3-ETHU3,13479,2023-06-28
ETHM3-ETHU3,13479,2023-06-29
ETHM3-ETHU3,13479,2023-06-30
ETHM3-ETHU3,13479,2023-07-01
ETHM3-ETHU3,13479,2023-07-02
ETHM3-ETHU3,13479,2023-07-03
ETHM3-ETHU3,13479,2023-07-04
ETHM3-ETHU3,13479,2023-07-05
ETHM3-ETHU3,13479,2023-07-06
ETHM3-ETHU3,13479,2023-07-07
